node, cluster/community
2,0
3,1
4,2
6,3
7,4
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
25,5
26,5
27,5
28,5
29,5
30,6
38,7
39,8
40,8
41,9
42,10
43,7
44,9
45,11
46,12
47,12
48,12
49,8
50,11
51,13
52,9
53,14
54,14
55,14
56,12
57,10
58,12
59,15
60,16
61,8
62,7
63,17
64,7
65,17
66,17
67,17
68,17
72,18
73,19
74,10
75,19
76,9
77,9
78,14
79,8
80,3
81,7
82,8
83,9
84,17
85,9
86,20
87,12
88,8
89,17
90,21
91,9
92,22
93,10
94,3
95,3
96,18
97,14
98,24
99,19
100,10
101,14
102,12
103,25
104,19
105,3
106,3
107,27
108,9
109,20
110,11
111,9
112,28
113,14
114,7
115,7
116,9
117,10
118,12
119,11
120,19
125,20
126,3
127,20
129,29
131,29
132,29
133,29
135,30
136,31
137,31
138,31
139,31
143,14
153,32
154,33
155,29
156,34
157,20
158,35
159,36
160,19
161,37
218,14
219,19
220,7
221,12
224,20
225,20
226,20
227,20
228,20
229,38
233,11
234,39
235,8
236,9
237,9
238,19
239,38
240,38
241,18
242,12
243,38
244,21
245,7
247,14
250,3
254,3
255,3
256,7
257,40
259,40
261,41
262,42
268,43
269,44
270,45
271,45
272,45
273,45
274,45
275,45
276,45
277,45
278,45
279,45
282,46
283,46
284,46
285,46
286,46
287,46
288,46
291,47
292,48
293,49
294,50
295,51
296,52
297,46
298,0
299,1
300,53
301,53
302,2
303,2
304,2
305,2
306,54
307,2
309,2
310,54
311,2
312,2
313,2
314,2
315,2
317,55
320,8
322,3
323,3
324,3
325,3
326,3
327,3
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,4
346,4
347,4
348,4
349,5
350,5
351,5
352,5
353,5
355,5
357,6
358,6
359,6
362,6
363,5
364,5
365,5
368,5
369,5
371,5
372,5
373,5
374,5
376,5
377,5
378,5
381,5
383,20
384,20
385,20
386,20
387,20
388,20
389,7
390,56
391,7
392,57
393,58
394,9
395,59
396,9
397,9
398,9
399,38
400,38
401,38
402,18
403,38
404,11
405,60
406,61
407,9
408,21
409,8
410,38
411,21
412,20
413,8
414,11
415,11
416,20
417,8
418,62
419,63
420,9
421,19
422,64
423,65
424,19
425,9
426,9
427,19
428,9
429,66
430,8
431,8
432,9
433,9
434,67
435,68
436,69
437,9
438,18
439,18
440,38
441,10
442,38
443,38
444,38
445,38
446,38
447,38
448,38
449,38
450,38
451,20
452,20
453,12
454,7
455,20
456,38
457,11
459,14
460,8
461,9
462,11
463,3
464,9
465,70
466,11
467,3
468,71
469,72
470,73
471,20
472,74
473,74
474,8
475,8
476,8
477,7
478,7
479,3
480,7
481,8
482,3
483,7
484,7
485,3
486,3
487,3
488,9
489,19
490,19
491,19
492,19
493,19
494,9
495,9
496,9
497,9
498,9
499,9
500,9
501,8
502,8
503,9
504,9
505,9
506,8
507,9
508,59
509,9
510,9
512,9
513,9
514,14
515,14
517,9
518,9
519,9
520,9
521,9
522,9
523,8
524,9
525,9
526,9
527,9
528,9
529,9
531,9
532,15
533,15
534,15
535,9
536,9
537,9
538,9
539,9
540,9
542,21
543,21
544,21
545,21
547,21
548,7
549,3
550,7
551,8
552,7
553,7
554,7
555,7
557,7
558,75
559,76
560,3
562,7
563,8
564,7
565,8
566,7
567,7
568,17
569,7
570,7
571,7
572,17
573,17
574,17
575,17
576,7
577,7
578,8
579,7
580,7
581,17
582,17
583,9
584,7
585,3
586,8
588,3
589,3
590,7
591,3
592,7
593,56
594,38
595,66
596,19
597,19
598,9
599,7
600,57
601,58
602,9
603,59
604,9
605,9
606,9
607,38
608,38
609,38
610,38
611,38
612,20
613,20
614,20
615,20
616,20
617,20
619,38
620,18
621,38
622,38
623,11
624,11
625,11
626,60
627,61
628,9
629,21
630,21
631,8
632,20
633,8
634,20
635,8
636,14
637,14
638,8
639,9
640,11
641,3
642,9
643,9
644,62
645,63
646,9
647,19
648,62
649,63
650,9
651,8
652,8
653,9
654,9
655,67
656,69
657,68
658,9
659,18
660,18
661,38
662,10
663,38
664,38
665,38
666,38
667,38
668,20
669,20
670,20
671,12
672,7
673,20
674,11
675,38
676,9
677,70
678,11
679,3
680,77
681,77
682,71
683,72
684,73
685,20
686,8
687,8
688,8
689,3
690,8
691,8
692,8
693,11
695,19
696,64
697,65
698,19
699,9
700,8
701,8
702,8
703,8
704,8
705,8
706,8
707,8
708,9
709,9
710,8
711,8
712,8
713,3
715,11
716,8
717,8
718,9
719,8
720,7
721,3
722,8
723,8
724,8
725,8
726,3
727,3
728,3
729,9
730,12
731,16
732,16
733,16
734,16
735,8
736,12
737,8
738,8
739,9
740,3
741,3
742,8
743,9
744,11
745,8
746,8
747,8
748,9
749,8
750,22
751,3
752,9
753,20
754,8
755,3
756,3
757,3
758,3
759,3
760,3
761,8
762,8
763,9
764,11
765,7
766,17
767,17
768,17
769,78
771,7
772,17
773,7
774,17
775,17
776,17
777,17
778,17
779,17
780,7
781,20
782,20
783,20
784,20
785,7
786,20
787,20
788,7
789,7
790,7
792,20
793,8
794,8
795,14
796,14
797,14
798,14
799,14
800,14
801,9
802,8
803,8
804,8
805,8
806,8
807,8
808,8
809,3
810,79
811,80
812,18
813,18
814,18
815,18
816,18
817,18
819,18
820,18
821,18
822,18
823,9
824,19
825,9
826,19
827,19
828,19
829,19
830,19
831,19
832,28
833,28
834,28
835,28
836,81
837,28
838,28
839,28
840,28
841,10
842,3
843,3
844,3
845,82
846,3
847,3
848,7
849,7
850,12
851,14
852,14
853,14
854,9
855,9
856,9
857,9
858,14
859,14
860,14
861,14
862,22
863,9
864,8
865,9
866,9
867,3
868,20
869,14
870,20
871,20
872,14
874,8
875,8
876,14
878,14
879,14
880,14
881,14
882,3
883,9
884,14
885,83
886,19
887,19
888,19
889,19
890,19
891,19
892,19
893,19
895,19
896,19
897,19
898,11
899,84
900,84
901,84
902,85
903,9
904,86
905,3
906,38
907,38
908,38
909,8
910,66
911,38
912,38
913,38
914,38
915,38
916,38
917,10
918,10
919,38
920,38
921,38
922,38
923,38
924,18
925,10
926,87
927,10
928,38
929,38
930,38
931,10
932,10
933,10
934,14
935,10
936,10
937,10
938,10
939,12
940,12
941,12
942,12
943,12
944,12
945,12
946,3
947,12
948,11
949,11
950,11
951,11
952,11
953,11
954,11
955,9
956,9
957,14
958,14
959,10
960,10
961,22
962,22
963,22
964,9
965,9
966,9
967,14
968,14
969,14
970,21
971,21
972,21
973,21
974,21
975,21
976,21
977,21
978,21
979,8
980,8
981,8
982,9
983,3
984,8
985,8
986,8
987,11
988,8
989,8
990,9
992,8
993,8
994,7
995,9
996,8
997,8
998,8
999,8
1000,11
1001,11
1002,11
1003,8
1004,8
1005,8
1006,9
1007,9
1008,9
1009,8
1010,8
1011,8
1012,8
1013,8
1014,8
1015,8
1016,8
1017,3
1018,8
1019,8
1020,8
1021,8
1022,8
1023,8
1024,8
1025,8
1026,8
1027,3
1028,8
1029,3
1030,22
1031,8
1032,9
1033,12
1034,16
1035,16
1036,8
1037,8
1038,3
1039,8
1040,8
1041,3
1042,3
1043,3
1044,8
1045,8
1046,7
1047,84
1048,85
1049,8
1050,8
1051,8
1052,8
1054,8
1055,83
1056,8
1057,8
1060,14
1061,8
1062,8
1063,7
1064,8
1066,9
1067,9
1068,9
1071,9
1072,9
1073,9
1074,19
1075,9
1076,9
1077,9
1078,19
1079,19
1080,27
1081,27
1082,14
1083,14
1084,14
1085,14
1086,14
1087,14
1088,14
1089,14
1090,14
1091,19
1092,19
1093,19
1094,19
1095,19
1096,19
1097,19
1098,19
1099,19
1100,19
1101,19
1102,19
1103,19
1104,10
1105,10
1106,19
1107,19
1109,19
1110,19
1111,19
1112,19
1113,19
1114,19
1115,19
1116,19
1117,19
1118,19
1119,19
1120,9
1121,9
1122,11
1123,11
1124,11
1125,8
1126,11
1127,11
1128,11
1129,11
1130,11
1131,11
1132,11
1133,11
1134,19
1135,10
1136,19
1137,19
1138,11
1139,10
1140,10
1141,8
1142,66
1143,38
1144,38
1145,38
1146,38
1147,18
1148,38
1149,10
1150,10
1151,10
1152,10
1153,10
1154,10
1155,10
1156,10
1157,10
1158,87
1159,14
1160,10
1162,10
1163,10
1164,10
1165,25
1166,25
1167,11
1168,20
1169,20
1170,20
1171,20
1172,20
1173,20
1174,20
1175,20
1176,20
1177,20
1178,7
1179,20
1180,20
