node, cluster/community
4,0
6,1
7,1
8,1
9,1
10,1
11,1
16,2
17,3
18,4
19,1
20,5
21,6
22,4
23,7
24,8
25,1
26,10
27,1
28,12
29,12
32,8
35,10
36,6
38,13
39,1
40,6
41,8
42,8
43,3
44,5
45,13
46,12
47,15
48,4
49,16
56,5
98,5
101,8
102,8
103,8
104,17
105,17
106,8
107,8
108,8
109,8
110,8
111,8
112,8
114,8
115,3
117,1
118,1
119,1
121,8
122,8
123,8
125,10
126,10
127,10
128,10
129,10
130,10
131,10
132,10
133,6
134,6
135,6
136,6
138,18
139,18
142,5
143,5
144,19
145,19
146,8
147,8
148,8
149,8
150,3
151,4
152,3
153,3
154,8
155,8
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,5
164,5
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,8
173,8
174,8
175,8
176,8
177,5
178,10
179,10
180,1
181,1
182,6
183,6
184,1
185,1
186,8
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,3
196,8
197,2
198,2
199,2
200,2
203,1
204,1
206,8
207,1
208,1
209,1
210,1
211,1
212,8
213,8
214,8
215,8
216,8
217,8
218,8
219,8
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5
231,5
232,13
233,7
234,7
235,7
236,7
237,7
238,7
239,7
240,12
241,12
242,12
243,12
244,12
245,12
246,1
247,4
248,4
249,4
250,4
251,4
252,4
253,4
254,4
255,4
256,5
257,5
258,1
259,1
260,1
261,13
262,8
263,7
264,5
265,3
266,3
267,15
268,15
269,15
270,15
271,15
272,15
273,15
274,13
275,13
276,13
277,13
278,13
279,1
280,16
281,16
282,16
283,16
284,16
285,16
286,15
287,16
288,9
289,8
290,3
291,12
292,13
293,13
294,13
295,13
296,13
297,13
298,13
299,1
300,1
301,13
302,5
303,13
304,13
305,13
306,13
307,1
308,13
309,13
310,13
311,5
312,5
313,5
314,5
315,5
316,7
317,7
318,5
319,5
320,5
321,5
322,5
323,5
324,8
325,5
326,5
327,5
328,5
329,3
330,5
331,3
332,5
333,5
335,5
336,5
337,7
338,7
339,7
340,5
341,7
342,7
343,7
345,7
346,7
347,7
348,15
349,16
350,16
351,15
352,16
353,16
354,16
355,15
356,15
357,15
358,16
359,16
360,16
361,10
362,10
363,1
364,10
365,1
366,3
367,3
368,3
369,3
370,6
371,6
372,1
373,1
374,1
375,1
376,1
377,1
379,1
380,8
381,8
382,8
383,8
384,8
385,8
386,8
387,8
388,8
389,8
390,8
391,8
392,8
393,4
394,4
395,3
396,4
398,4
399,4
400,4
401,4
402,4
403,4
404,4
405,4
406,4
407,4
408,4
409,4
411,4
412,1
413,1
414,1
415,15
417,15
418,15
419,15
420,15
421,12
422,4
423,4
424,12
425,12
426,12
427,12
428,12
429,12
430,1
431,1
432,12
433,12
434,1
435,12
436,12
437,12
438,12
439,12
440,12
441,12
442,12
443,12
444,12
445,12
446,12
447,8
450,8
451,8
452,8
463,8
472,11
473,11
475,9
477,9
481,14
487,14
488,14
489,14
490,14
