node, cluster/community
1,0
2,1
3,2
5,3
8,2
10,4
11,5
12,5
13,2
14,5
15,1
16,5
17,6
23,7
24,8
25,24
26,10
27,11
28,24
29,13
31,24
32,2
33,2
35,10
36,10
37,10
38,10
39,2
44,5
45,14
46,10
47,1
48,14
49,5
50,16
51,31
52,1
53,18
54,3
55,1
56,18
57,19
58,2
59,1
60,31
61,20
62,4
63,4
64,20
65,18
66,2
67,17
68,10
69,16
70,5
71,3
72,18
73,18
74,3
75,4
76,10
77,18
78,18
80,19
81,3
84,1
87,23
88,23
89,23
90,3
91,20
92,24
93,2
94,26
95,2
96,31
97,2
98,3
99,20
100,31
103,6
108,27
110,28
111,2
112,28
115,20
116,1
117,1
118,16
119,29
120,29
121,30
122,29
123,2
125,2
127,2
131,5
132,18
133,5
134,10
137,5
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,10
171,10
172,10
173,10
174,10
175,10
176,10
177,10
178,10
179,4
180,4
181,4
182,17
183,17
184,17
185,17
186,17
187,17
188,17
189,17
190,17
191,17
192,17
193,17
194,17
195,5
202,18
203,10
204,10
205,31
206,10
210,1
211,1
212,3
213,3
215,16
216,16
218,14
219,14
220,14
221,14
222,14
223,14
224,14
225,14
226,14
227,14
228,14
229,14
230,14
231,14
232,14
233,14
234,14
235,10
236,10
237,14
238,14
239,14
240,14
244,14
245,14
246,14
247,10
248,14
249,14
250,10
251,14
252,14
258,9
259,9
260,9
261,9
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,4
277,18
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,14
287,14
288,2
289,14
290,18
291,14
292,14
293,10
294,14
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
320,16
321,16
322,16
323,16
324,8
325,12
326,12
327,12
328,24
330,15
331,15
332,26
333,12
334,12
335,14
336,26
337,31
338,26
339,31
340,26
341,24
342,26
343,31
344,31
345,26
346,31
347,31
348,26
349,31
350,31
351,26
352,31
353,26
354,31
355,26
356,31
357,31
358,26
359,31
360,31
361,26
362,31
363,14
364,31
365,26
366,31
367,26
368,31
369,26
370,31
371,26
372,14
373,26
374,31
375,26
376,31
377,26
378,31
379,26
380,14
381,26
382,14
383,26
384,14
385,26
386,14
387,26
388,31
389,1
390,26
391,26
392,31
393,26
394,26
395,20
396,26
397,20
398,26
399,31
400,20
401,31
402,26
403,31
404,26
405,31
406,26
407,31
408,26
409,31
410,26
411,31
412,26
413,31
414,26
415,31
416,31
417,26
418,10
419,26
420,31
421,26
422,31
423,31
424,31
425,31
427,24
428,31
429,26
430,31
431,26
432,3
433,3
434,3
435,18
436,18
437,3
438,2
439,18
440,18
441,18
442,18
443,18
444,5
445,5
446,5
447,5
448,3
449,3
450,3
451,3
452,3
453,3
454,3
455,24
456,26
457,24
458,26
459,24
460,26
461,24
462,26
463,24
464,26
465,24
466,26
467,31
472,31
473,26
474,31
475,26
476,31
477,26
478,31
479,26
480,31
481,26
482,31
483,26
484,31
485,26
