node_key,microservice
1,12
2,10
3,4
5,7
8,4
10,1
11,3
12,1
13,5
14,1
15,5
16,1
17,2
23,0
24,2
25,7
26,1
27,2
28,7
29,12
31,7
32,1
33,1
35,1
36,1
37,5
38,5
39,5
44,1
45,0
46,1
47,5
48,2
49,1
50,1
51,1
52,5
53,1
54,7
55,3
56,1
57,11
58,4
59,1
60,1
61,5
62,1
63,6
64,5
65,5
66,7
67,8
68,10
69,9
70,1
71,7
72,1
73,1
74,7
75,10
76,1
77,1
78,5
80,11
81,7
84,5
87,0
88,0
89,0
90,7
91,5
92,7
93,7
94,7
95,4
96,7
97,1
98,7
99,5
100,7
103,2
108,0
110,7
111,5
112,7
115,5
116,5
117,5
118,12
119,9
120,9
121,0
122,9
123,7
125,7
127,4
131,1
132,1
133,1
134,1
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,8
183,8
184,8
185,8
186,8
187,8
188,8
189,1
190,1
191,1
192,1
193,1
194,8
195,1
202,1
203,1
204,1
205,7
206,1
210,5
211,5
212,7
213,7
215,1
216,1
218,7
219,7
220,0
221,0
222,0
223,0
224,2
225,2
226,2
227,2
228,2
229,2
230,0
231,0
232,0
233,0
234,0
235,1
236,1
237,0
238,0
239,2
240,0
244,0
245,2
246,2
247,1
248,2
249,2
250,1
251,2
252,2
258,9
259,9
260,9
261,9
262,7
263,4
264,4
265,4
266,4
267,4
268,7
269,7
270,7
271,7
272,7
273,4
274,7
275,7
276,1
277,1
278,7
279,7
280,7
281,7
282,7
283,7
284,7
285,7
286,1
287,1
288,5
289,5
290,5
291,1
292,5
293,1
294,1
297,5
298,5
299,5
300,5
301,5
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,5
312,5
313,5
314,5
315,5
316,5
320,9
321,9
322,1
323,9
324,2
325,0
326,0
327,0
328,7
330,2
331,2
332,7
333,0
334,0
335,7
336,7
337,7
338,7
339,7
340,7
341,7
342,7
343,7
344,7
345,7
346,1
347,1
348,7
349,7
350,7
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,7
359,7
360,7
361,7
362,7
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,7
379,7
380,7
381,7
382,7
383,7
384,7
385,7
386,1
387,7
388,7
389,7
390,7
391,7
392,7
393,7
394,7
395,5
396,7
397,5
398,7
399,7
400,7
401,7
402,7
403,7
404,7
405,7
406,7
407,7
408,7
409,7
410,7
411,7
412,7
413,7
414,7
415,7
416,7
417,7
418,1
419,7
420,7
421,7
422,7
423,7
424,7
425,7
427,7
428,7
429,7
430,7
431,7
432,7
433,7
434,7
435,5
436,1
437,7
438,7
439,5
440,5
441,5
442,5
443,5
444,1
445,1
446,1
447,1
448,7
449,7
450,7
451,7
452,7
453,7
454,7
455,7
456,7
457,7
458,7
459,7
460,7
461,7
462,7
463,7
464,7
465,7
466,7
467,7
472,7
473,7
474,7
475,7
476,7
477,7
478,7
479,7
480,7
481,7
482,7
483,7
484,7
485,7
486,7
487,7
488,7
489,7
490,7
491,7
492,7
493,7
494,7
495,7
496,7
497,7
498,7
499,7
500,7
501,7
