node_key,microservice
0,0
1,5
2,25
3,0
6,48
7,0
9,1
10,44
11,44
12,2
14,44
15,3
16,4
19,53
22,10
23,5
24,6
25,5
27,7
28,17
29,44
30,44
31,44
36,21
40,44
46,21
47,8
48,32
53,0
54,0
55,9
58,0
59,0
60,44
61,36
62,44
63,44
64,45
65,44
66,44
68,44
69,56
70,55
72,44
73,44
74,44
75,44
76,44
77,44
78,44
79,44
80,44
81,48
82,44
83,21
84,0
85,0
86,0
87,0
88,0
89,0
90,21
91,44
93,44
95,44
96,44
97,44
98,44
100,5
101,0
105,5
107,10
108,44
110,5
114,11
117,44
119,0
120,0
122,5
123,9
124,56
125,17
126,44
127,44
128,44
130,5
132,5
136,21
137,12
138,34
139,12
140,13
141,14
145,44
146,44
148,44
149,44
150,0
151,5
153,41
154,41
155,19
156,41
157,19
158,19
159,0
160,1
161,0
162,0
163,1
165,0
166,56
167,48
168,15
169,16
170,17
171,18
172,17
173,44
174,44
175,44
176,44
177,17
178,44
179,17
180,44
181,17
182,17
183,17
184,44
185,44
186,44
187,44
188,44
189,44
190,18
191,18
193,44
194,44
195,44
196,44
197,44
198,44
199,44
201,44
203,44
204,44
205,0
209,44
210,23
211,23
213,19
214,6
215,17
216,21
217,23
218,20
220,5
222,44
223,21
225,23
227,22
229,23
233,44
237,0
238,5
240,5
241,0
242,0
243,5
244,5
246,54
247,54
248,54
249,54
250,54
251,54
253,51
254,5
255,5
256,14
257,0
260,24
261,25
263,25
264,26
267,27
268,25
269,25
270,28
271,29
273,30
274,31
275,32
276,33
278,34
279,35
280,0
281,44
282,44
283,56
286,56
287,0
288,0
289,17
290,17
291,44
292,9
293,0
294,39
295,36
296,21
297,44
298,49
301,37
302,5
303,37
304,38
305,17
306,5
309,37
315,39
316,40
317,41
319,5
320,5
322,42
323,5
324,5
325,31
327,17
328,43
329,0
330,0
331,0
333,5
336,44
337,5
338,0
339,5
340,44
341,44
342,44
345,0
346,0
347,44
349,44
350,44
351,44
354,10
356,19
358,0
359,0
361,21
362,21
363,0
366,44
367,44
368,44
369,44
370,44
371,0
372,44
373,44
374,44
375,0
376,44
378,44
379,44
381,44
382,44
383,10
384,44
385,44
387,44
388,44
389,44
390,44
391,44
392,44
395,44
396,44
397,44
398,44
400,0
401,21
402,0
403,21
404,44
405,0
408,21
409,9
410,21
411,21
412,21
413,21
420,0
423,0
424,44
427,53
428,19
429,53
430,19
431,53
432,0
434,0
436,56
437,19
439,19
440,18
441,14
443,0
444,56
445,56
446,0
447,14
448,0
449,0
450,0
451,0
452,0
453,0
454,18
455,25
457,25
458,1
460,8
461,1
462,25
463,8
465,8
466,1
469,20
470,20
471,20
472,20
473,20
475,20
476,20
477,20
478,20
479,20
480,20
481,20
482,20
485,0
489,8
490,56
491,26
493,26
494,0
495,0
497,0
498,0
499,0
500,0
501,0
503,0
504,0
505,0
506,0
507,0
510,53
513,19
514,19
515,19
516,19
517,19
518,19
519,19
520,19
521,19
523,19
526,0
527,5
528,21
530,5
531,5
540,5
