0,Entity,MavenWrapperDownloader
1,Entity,ApplicationWebXml
2,Entity,UserNotActivatedException
3,Entity,SecurityUtils
4,Entity,AuthoritiesConstants
5,Entity,JWTFilter
6,Entity,JWTConfigurer
7,Entity,UsernameAlreadyUsedException
8,Entity,EmailAlreadyUsedException
9,Entity,InvalidPasswordException
10,Entity,PasswordChangeDTO
11,Entity,UserDTO
12,Entity,Authority
13,Entity,AbstractAuditingEntity
14,Entity,PersistentAuditEvent
15,Entity,User
16,Entity,ApplicationProperties
17,Entity,SecurityConfiguration
18,Entity,Constants
19,Entity,EmailAlreadyUsedException
20,Entity,ErrorConstants
21,Entity,InvalidPasswordException
22,Entity,BadRequestAlertException
23,Entity,LoginAlreadyUsedException
24,Entity,FieldErrorVM
25,Entity,LoginVM
26,Entity,ManagedUserVM
27,Entity,KeyAndPasswordVM
28,Method,loadUserByUsername,DomainUserDetailsService
29,Method,createSpringSecurityUser,DomainUserDetailsService
30,Method,getCurrentAuditor,SpringSecurityAuditorAware
31,Method,init,TokenProvider
32,Method,createToken,TokenProvider
33,Method,getAuthentication,TokenProvider
34,Method,validateToken,TokenProvider
35,Method,sendEmail,MailService
36,Method,sendEmailFromTemplate,MailService
37,Method,sendActivationEmail,MailService
38,Method,sendCreationEmail,MailService
39,Method,sendPasswordResetMail,MailService
40,Method,activateRegistration,UserService
41,Method,completePasswordReset,UserService
42,Method,requestPasswordReset,UserService
43,Method,registerUser,UserService
44,Method,removeNonActivatedUser,UserService
45,Method,createUser,UserService
46,Method,updateUser,UserService
47,Method,deleteUser,UserService
48,Method,changePassword,UserService
49,Method,getAllManagedUsers,UserService
50,Method,getUserWithAuthoritiesByLogin,UserService
51,Method,getUserWithAuthorities,UserService
52,Method,removeNotActivatedUsers,UserService
53,Method,getAuthorities,UserService
54,Method,clearUserCaches,UserService
55,Method,removeOldAuditEvents,AuditEventService
56,Method,findAll,AuditEventService
57,Method,findByDates,AuditEventService
58,Method,find,AuditEventService
59,Method,usersToUserDTOs,UserMapper
60,Method,userToUserDTO,UserMapper
61,Method,userDTOsToUsers,UserMapper
62,Method,userDTOToUser,UserMapper
63,Method,authoritiesFromStrings,UserMapper
64,Method,userFromId,UserMapper
65,Method,convertToAuditEvent,AuditEventConverter
66,Method,convertDataToObjects,AuditEventConverter
67,Method,convertDataToStrings,AuditEventConverter
68,Method,forward,ClientForwardController
69,Method,getAll,AuditResource
70,Method,getByDates,AuditResource
71,Method,get,AuditResource
72,Method,createUser,UserResource
73,Method,updateUser,UserResource
74,Method,getAllUsers,UserResource
75,Method,onlyContainsAllowedProperties,UserResource
76,Method,getAuthorities,UserResource
77,Method,getUser,UserResource
78,Method,deleteUser,UserResource
79,Method,registerAccount,AccountResource
80,Method,activateAccount,AccountResource
81,Method,isAuthenticated,AccountResource
82,Method,getAccount,AccountResource
83,Method,saveAccount,AccountResource
84,Method,changePassword,AccountResource
85,Method,requestPasswordReset,AccountResource
86,Method,finishPasswordReset,AccountResource
87,Method,checkPasswordLength,AccountResource
88,Method,authorize,UserJWTController
89,Method,find,CustomAuditEventRepository
90,Method,add,CustomAuditEventRepository
91,Method,truncate,CustomAuditEventRepository
