node, cluster/community
1,4
6,8
9,0
11,8
12,4
13,0
14,4
15,5
16,4
17,8
18,8
19,3
20,3
22,0
23,1
25,2
26,3
27,3
28,3
41,8
42,2
44,6
46,6
47,6
48,6
50,0
52,5
53,0
54,0
55,0
56,7
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,8
68,0
69,8
70,3
71,3
72,6
73,6
74,6
75,6
76,0
79,2
80,2
81,2
82,0
83,8
84,8
85,7
86,0
87,0
88,0
89,5
90,8
91,8
92,8
93,2
94,0
95,3
96,0
97,3
98,3
99,4
100,3
101,4
102,4
103,0
104,3
105,0
106,4
107,0
108,0
109,0
110,0
111,1
112,1
113,1
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
