node_key,microservice
1,0
6,0
9,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,2
20,2
22,0
23,1
25,2
26,2
27,2
28,3
41,0
42,2
44,0
46,0
47,0
48,0
50,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,2
71,2
72,0
73,0
74,0
75,0
76,0
79,2
80,2
81,2
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,2
94,0
95,2
96,0
97,3
98,0
99,0
100,2
101,0
102,0
103,0
104,2
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,1
114,2
115,2
116,2
117,2
118,2
119,3
120,3
121,3
