node, cluster/community
1,0
2,1
6,2
7,2
8,3
9,2
10,2
11,2
12,2
13,2
14,4
15,4
16,4
18,4
19,4
20,5
21,6
23,0
24,7
26,6
27,0
29,4
30,8
31,1
33,9
34,9
35,1
36,1
37,1
38,8
39,1
40,1
41,10
42,1
43,1
44,4
45,1
47,10
49,11
50,11
51,1
52,2
53,1
55,8
57,1
58,1
59,1
60,1
61,1
62,10
63,1
65,10
66,1
67,1
68,1
70,8
71,1
72,1
74,1
75,1
76,1
77,1
80,8
81,12
82,0
83,0
84,0
85,0
86,0
87,8
88,8
89,8
90,11
91,8
92,11
93,8
94,8
97,14
98,14
99,10
100,10
103,15
108,11
109,11
110,16
111,16
113,16
114,6
117,6
120,3
121,11
122,6
126,6
129,6
130,6
131,8
133,6
135,3
136,3
138,6
139,6
140,4
141,11
145,4
146,4
150,8
156,5
157,5
158,4
159,4
160,17
161,17
162,2
163,2
164,12
165,12
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,18
180,11
181,15
182,1
183,1
184,15
185,1
186,15
187,15
188,1
189,1
190,1
191,1
192,1
193,10
195,11
196,19
197,0
198,6
199,3
200,6
201,6
202,6
203,6
204,6
211,8
222,8
224,1
225,2
226,6
231,6
233,6
234,17
236,6
237,6
238,6
239,8
240,1
242,11
244,20
247,11
248,11
249,1
250,20
251,11
257,3
258,6
259,0
260,6
261,6
262,4
264,4
265,4
266,0
267,0
268,2
269,4
270,21
271,4
272,4
273,21
274,21
275,4
276,2
277,2
278,6
279,0
280,6
281,4
282,22
283,22
284,22
286,8
287,8
288,7
289,7
290,23
291,8
294,15
299,6
301,8
304,1
308,1
310,1
320,1
322,8
323,1
327,24
328,24
330,25
331,26
332,27
333,28
334,27
335,27
337,27
338,25
339,29
340,29
342,25
343,30
346,6
347,6
349,2
351,4
360,8
361,10
367,4
370,4
371,4
372,4
373,4
374,4
375,3
376,4
377,4
378,3
379,4
380,4
381,4
382,5
383,5
384,5
385,5
386,6
387,5
388,1
389,5
390,5
391,1
392,7
393,7
394,7
395,7
396,7
397,7
398,8
399,7
401,7
402,7
403,3
404,7
405,7
406,7
407,8
409,7
410,4
411,7
412,2
413,2
414,2
415,2
416,31
417,2
419,2
421,12
422,12
423,9
424,9
425,9
426,9
427,9
428,9
429,9
430,9
431,9
432,8
433,2
434,12
435,8
436,8
437,12
438,12
439,8
440,6
441,0
442,17
443,17
444,17
445,3
446,9
447,3
448,9
449,12
451,8
452,8
453,8
454,8
455,8
456,8
457,6
458,1
459,3
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,3
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,18
491,18
492,8
493,3
494,18
495,18
496,11
497,1
498,1
499,1
500,8
501,1
502,1
503,1
504,1
505,1
506,6
507,1
508,11
509,1
510,8
511,1
512,15
513,15
514,15
515,15
516,15
517,15
518,15
519,15
520,1
521,15
522,15
523,15
524,15
525,15
526,1
527,1
528,4
529,4
530,4
531,0
532,15
533,0
534,6
535,6
536,6
537,6
538,6
539,6
540,8
541,6
542,6
543,6
544,6
545,6
546,6
547,6
548,6
549,6
550,6
551,6
552,6
553,6
554,6
555,6
556,6
557,6
558,3
559,3
560,3
