node, cluster/community
4,0
5,1
6,1
7,1
9,1
13,3
16,3
17,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
32,4
38,6
39,6
40,6
41,7
42,7
52,8
53,1
54,1
55,9
57,9
59,9
60,9
61,9
62,9
63,9
64,9
65,9
66,9
67,59
70,9
71,9
74,9
75,1
76,9
78,73
79,73
80,73
81,13
83,73
84,73
85,73
87,14
88,14
89,14
90,14
92,14
93,73
94,14
95,73
96,14
97,14
100,4
104,59
105,1
106,8
107,15
108,59
109,1
111,8
112,16
113,1
114,1
115,1
116,1
117,67
118,67
119,1
120,67
121,67
122,67
123,67
124,67
125,1
126,67
127,67
128,1
129,67
130,1
131,67
132,15
133,59
135,15
137,18
138,18
139,19
140,20
141,20
142,19
143,21
144,21
145,21
147,21
151,22
152,22
153,23
154,24
155,25
156,25
157,26
158,24
159,27
160,28
161,29
162,23
163,26
164,30
165,28
166,27
167,30
168,29
176,31
177,32
178,32
179,31
181,33
182,34
183,34
185,35
186,36
187,26
188,69
190,33
191,35
192,35
194,36
195,36
196,34
197,38
198,35
199,36
200,39
201,35
202,34
203,36
204,34
205,39
206,1
207,1
208,40
209,8
210,42
211,43
212,42
213,1
214,43
215,44
216,44
217,45
218,45
219,46
220,46
221,46
223,47
226,47
227,47
228,47
230,47
231,1
232,1
233,40
234,40
235,40
236,40
237,40
238,40
239,49
240,49
243,50
245,40
246,59
248,50
249,51
250,50
251,69
252,8
253,8
254,40
255,8
256,52
257,52
258,8
259,51
260,40
261,50
262,50
263,40
264,53
265,53
266,54
267,26
268,54
270,26
271,67
272,8
273,8
277,8
278,8
279,8
280,8
281,8
287,55
291,55
292,55
293,55
294,55
295,55
296,55
299,9
302,9
305,8
306,8
307,56
311,69
312,8
313,69
314,59
316,8
317,6
318,69
320,57
321,4
322,58
323,59
327,69
328,62
329,61
330,59
331,59
332,59
333,59
334,59
336,1
338,4
339,8
341,6
342,6
343,62
344,63
345,57
346,9
347,61
348,59
349,61
350,59
351,61
352,61
353,61
354,59
355,61
356,8
357,61
358,63
359,8
360,67
361,67
362,67
363,67
364,67
365,57
366,66
367,66
368,66
369,68
370,62
371,57
372,69
374,67
375,4
376,69
377,67
378,6
379,63
380,57
381,8
382,63
383,66
384,68
386,62
387,69
388,57
390,59
391,63
392,63
394,63
395,57
396,57
397,57
398,62
399,62
400,62
401,57
402,57
403,4
404,57
405,57
406,4
407,8
408,8
409,71
411,13
412,13
413,13
414,73
415,73
416,14
420,1
422,1
423,59
424,1
425,1
426,1
427,1
431,1
434,72
435,73
436,73
437,72
440,73
447,1
450,73
452,73
457,15
460,15
463,15
464,15
466,15
467,1
469,1
470,1
472,74
473,74
474,9
475,9
476,1
479,1
480,67
481,1
482,1
483,1
484,73
485,1
486,73
487,75
488,75
490,75
492,75
493,75
495,75
496,75
497,75
498,75
499,75
503,62
505,76
508,59
509,76
510,59
511,76
513,59
514,77
515,59
516,59
522,9
523,13
524,13
527,78
529,78
531,4
532,4
533,8
535,59
536,38
537,59
540,79
541,79
542,79
543,71
545,59
546,59
550,76
554,59
555,76
568,59
570,59
585,59
587,76
591,8
592,80
593,6
594,63
595,61
596,69
597,57
598,68
599,4
600,81
601,69
602,57
603,8
604,67
605,66
606,57
607,4
608,62
609,62
614,57
615,69
616,0
620,1
621,1
622,1
623,1
624,1
625,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,67
640,68
641,68
642,67
643,67
644,67
645,67
646,0
647,68
648,68
664,4
665,4
666,4
667,4
668,4
669,67
670,4
671,4
672,4
673,4
675,4
676,4
677,4
678,8
679,4
680,4
681,4
682,4
683,4
684,4
686,4
687,4
688,4
689,4
690,4
691,4
692,4
693,4
694,4
695,4
696,4
697,4
700,9
701,4
702,4
703,4
705,4
706,4
707,4
708,6
709,6
710,6
711,6
712,6
713,6
720,82
721,82
722,0
723,67
724,67
725,67
726,63
727,69
728,67
730,0
731,6
732,61
733,57
734,0
735,4
736,8
738,67
739,67
740,67
742,5
743,5
744,5
745,5
746,5
747,67
748,67
749,67
750,67
751,0
752,73
755,1
756,61
757,8
758,8
759,8
760,8
761,8
762,6
763,6
764,6
765,6
766,69
767,6
768,6
769,6
770,6
771,6
772,6
774,6
775,6
776,6
777,6
778,4
781,1
782,8
783,8
787,8
788,8
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,8
801,1
802,1
803,1
804,1
805,61
806,58
807,58
809,58
812,9
813,9
814,9
815,9
816,9
817,9
818,9
819,9
820,9
821,9
822,9
823,9
824,9
825,9
826,9
827,9
828,9
830,4
831,4
837,1
838,59
839,61
840,1
841,1
842,59
843,59
844,1
846,9
847,1
848,1
849,9
850,9
851,1
852,9
853,1
854,1
855,9
856,9
857,1
860,1
861,9
862,1
863,9
864,1
865,1
866,9
867,1
868,73
869,57
870,13
874,37
875,37
876,37
877,37
878,59
881,1
882,1
886,1
887,1
889,1
890,59
891,1
892,8
893,1
895,73
897,1
898,73
900,73
901,73
905,1
906,1
907,73
908,1
909,1
910,1
911,1
912,1
913,1
914,1
916,14
917,73
918,57
919,57
920,57
921,57
922,69
923,57
924,57
925,57
926,57
927,57
928,57
929,59
932,69
933,69
934,69
935,69
936,69
937,69
938,69
939,69
940,69
941,69
942,69
943,69
944,69
945,59
946,4
948,59
949,59
950,59
951,59
952,59
953,59
954,59
955,59
956,59
957,4
959,4
960,4
961,4
962,4
963,4
964,4
965,4
966,4
967,8
968,8
969,8
970,69
971,69
972,69
973,8
974,8
975,8
976,8
977,69
978,4
979,8
980,59
981,8
982,4
983,8
984,61
985,61
986,61
987,62
988,62
989,62
990,62
991,62
992,4
993,4
994,4
995,6
996,4
997,4
998,4
999,4
1000,4
1001,4
1002,63
1003,61
1004,61
1005,59
1006,61
1007,67
1008,67
1009,67
1010,67
1011,67
1012,67
1013,67
1014,67
1015,1
1016,1
1017,62
1019,57
1020,57
1021,57
1022,57
1023,6
1024,6
1025,6
1026,6
1027,6
1028,58
1029,68
