node_key,microservice
4,1
5,1
6,1
7,1
9,6
13,5
16,5
17,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
32,1
38,1
39,1
40,1
41,3
42,3
52,1
53,1
54,1
55,1
57,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
70,1
71,1
74,1
75,1
76,1
78,1
79,1
80,1
81,1
83,1
84,1
85,1
87,1
88,1
89,1
90,1
92,1
93,1
94,1
95,1
96,1
97,1
100,1
104,1
105,1
106,1
107,1
108,1
109,1
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,6
120,1
121,1
122,1
123,1
124,6
125,6
126,1
127,1
128,6
129,1
130,6
131,1
132,1
133,1
135,1
137,5
138,5
139,4
140,3
141,3
142,4
143,0
144,0
145,0
147,0
151,3
152,3
153,5
154,4
155,4
156,4
157,5
158,4
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
176,5
177,5
178,5
179,5
181,1
182,1
183,1
185,2
186,5
187,5
188,1
190,1
191,2
192,2
194,5
195,5
196,1
197,2
198,2
199,5
200,6
201,2
202,1
203,5
204,1
205,6
206,6
207,6
208,1
209,1
210,0
211,2
212,0
213,6
214,2
215,1
216,1
217,2
218,2
219,3
220,3
221,3
223,1
226,1
227,1
228,1
230,1
231,6
232,6
233,1
234,1
235,1
236,1
237,1
238,1
239,3
240,3
243,2
245,1
246,1
248,2
249,3
250,2
251,1
252,1
253,1
254,1
255,1
256,3
257,3
258,1
259,3
260,1
261,2
262,2
263,1
264,1
265,1
266,4
267,5
268,4
270,5
271,5
272,1
273,1
277,1
278,1
279,1
280,1
281,1
287,1
291,1
292,1
293,1
294,1
295,1
296,1
299,1
302,1
305,1
306,1
307,1
311,1
312,1
313,1
314,1
316,1
317,1
318,1
320,1
321,1
322,1
323,1
327,1
328,6
329,1
330,1
331,1
332,1
333,1
334,1
336,1
338,1
339,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,5
370,1
371,1
372,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,5
386,6
387,1
388,1
390,1
391,1
392,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
411,1
412,1
413,1
414,1
415,1
416,1
420,1
422,1
423,1
424,1
425,1
426,1
427,1
431,1
434,1
435,1
436,1
437,1
440,1
447,1
450,1
452,1
457,1
460,1
463,1
464,1
466,1
467,6
469,1
470,1
472,5
473,5
474,6
475,1
476,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
490,1
492,1
493,1
495,1
496,1
497,1
498,1
499,1
503,1
505,1
508,4
509,1
510,4
511,1
513,1
514,0
515,1
516,1
522,1
523,1
