node, cluster/community
0,1
2,1
3,1
6,1
7,4
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,7
17,7
22,7
23,7
25,7
27,7
31,8
32,9
33,7
36,7
38,11
39,11
42,11
43,11
44,11
45,11
48,12
49,13
51,13
52,15
53,13
54,13
55,13
56,13
58,15
59,17
60,15
61,13
63,13
64,19
65,19
66,10
67,10
68,7
69,14
70,14
71,14
72,10
75,14
76,14
77,10
78,10
79,14
80,10
81,10
82,10
83,14
84,14
85,15
87,15
91,4
94,14
96,13
103,15
104,15
105,15
106,13
107,4
108,15
109,1
111,16
112,16
114,18
115,16
117,9
118,9
119,13
123,0
124,15
126,16
128,16
129,15
130,15
131,16
132,15
133,18
138,16
139,15
140,16
141,15
142,15
143,15
145,4
146,0
147,4
149,4
151,1
152,4
154,4
157,1
166,2
167,3
169,2
170,2
171,3
173,3
174,4
176,4
178,4
180,5
181,5
182,5
184,4
188,4
199,6
200,6
